Project,Version,Suite,Test count,APFDf,TTFF,pTTFF,Test time,Test time / Test count,ApproachTime,TTFF (seconds),TTFF Total,ApproachTime / total.exec.time (%)
Cli,26,FAST,24,0.466666666666667,13.3,0.554166666666667,13.92,0.58,0.186666666666667,7.714,7.90066666666667,1.34099616858238
Cli,26,Ekstazi+FAST,24,0.451388888888889,13.6666666666667,0.569444444444444,13.92,0.58,5.59666666666667,7.92666666666667,13.5233333333333,40.205938697318
Cli,26,Random,24,0.579166666666667,10.6,0.441666666666667,13.92,0.58,,6.148,6.148,0
Cli,26,STARTS,24,0.572222222222222,10.7666666666667,0.448611111111111,13.92,0.58,9.31,6.24466666666667,15.5546666666667,66.882183908046
Cli,26,STARTS+DPT,24,0.104166666666667,22,0.916666666666667,13.92,0.58,14.9003333333333,12.76,27.6603333333333,107.042624521073
Cli,26,STARTS+FAST-S,24,0.330555555555556,16.5666666666667,0.690277777777778,13.92,0.58,9.317,9.60866666666667,18.9256666666667,66.9324712643678
Cli,27,DPT,23,0.960869565217392,1.4,0.0608695652173913,13.19,0.573478260869565,5.11066666666667,0.802869565217391,5.91353623188406,38.7465251453121
Cli,27,Ekstazi,23,0.771014492753623,5.76666666666667,0.250724637681159,13.19,0.573478260869565,5.11,3.30705797101449,8.41705797101449,38.7414708112206
Cli,27,Ekstazi+dpt,23,0.957971014492754,1.46666666666667,0.063768115942029,13.19,0.573478260869565,5.11066666666667,0.841101449275362,5.95176811594203,38.7465251453121
Cli,27,FAST,23,0.781159420289855,5.53333333333333,0.240579710144928,13.19,0.573478260869565,0.206666666666667,3.17324637681159,3.37991304347826,1.56684356835987
Cli,27,Ekstazi+FAST,23,0.795652173913044,5.2,0.226086956521739,13.19,0.573478260869565,5.116,2.98208695652174,8.09808695652174,38.786959818044
Cli,27,Random,23,0.76231884057971,5.96666666666667,0.259420289855072,13.19,0.573478260869565,,3.42175362318841,3.42175362318841,0
Cli,27,STARTS,23,0.776811594202899,5.63333333333333,0.244927536231884,13.19,0.573478260869565,9.44,3.23059420289855,12.6705942028986,71.5693707354056
Cli,27,STARTS+DPT,23,0.962318840579711,1.36666666666667,0.0594202898550724,13.19,0.573478260869565,14.5503333333333,0.783753623188406,15.3340869565217,110.313368713672
Cli,27,STARTS+FAST-S,23,0.802898550724638,5.03333333333333,0.218840579710145,13.19,0.573478260869565,9.44633333333333,2.88650724637681,12.3328405797101,71.6173869092747
Cli,28,DPT,24,0.397222222222222,14.9666666666667,0.623611111111111,15.15,0.63125,5.38066666666667,9.44770833333333,14.828375,35.5159515951595
Cli,28,Ekstazi,24,0.659722222222222,8.66666666666667,0.361111111111111,15.15,0.63125,5.38,5.47083333333333,10.8508333333333,35.5115511551155
Cli,28,Ekstazi+dpt,24,0.4125,14.6,0.608333333333333,15.15,0.63125,5.38033333333333,9.21625,14.5965833333333,35.5137513751375
Cli,28,FAST,24,0.290277777777778,17.5333333333333,0.730555555555556,15.15,0.63125,0.257,11.0679166666667,11.3249166666667,1.6963696369637
Cli,28,Ekstazi+FAST,24,0.331944444444444,16.5333333333333,0.688888888888889,15.15,0.63125,5.38666666666667,10.4366666666667,15.8233333333333,35.5555555555556
Cli,28,Random,24,0.486111111111111,12.8333333333333,0.534722222222222,15.15,0.63125,,8.10104166666667,8.10104166666667,0
Cli,28,STARTS,24,0.475,13.1,0.545833333333333,15.15,0.63125,9.39,8.269375,17.659375,61.980198019802
Cli,28,STARTS+DPT,24,0.393055555555556,15.0666666666667,0.627777777777778,15.15,0.63125,14.7703333333333,9.51083333333333,24.2811666666667,97.4939493949393
