Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Gson,1,2,10%,STARTS+FAST-P,7,0.967948717948718,3,0.038461538461538464
Gson,1,2,10%,STARTS+DPT,7,0.0,NA,NA
Gson,1,2,10%,Fastazi-S,7,0.967948717948718,3,0.038461538461538464
Gson,1,2,10%,Fastazi-P,7,0.967948717948718,3,0.038461538461538464
Gson,1,2,10%,Random,7,0.0,NA,NA
Gson,1,2,20%,Ekstazi,15,0.0,NA,NA
Gson,1,2,20%,FAST,15,0.967948717948718,3,0.038461538461538464
Gson,1,2,20%,Ekstazi+dpt,15,0.0,NA,NA
Gson,1,2,20%,DPT,15,0.0,NA,NA
Gson,1,2,20%,STARTS,15,0.9423076923076923,5,0.0641025641025641
Gson,1,2,20%,STARTS+FAST-S,15,0.9551282051282051,4,0.05128205128205128
Gson,1,2,20%,STARTS+FAST-P,15,0.967948717948718,3,0.038461538461538464
Gson,1,2,20%,STARTS+DPT,15,0.0,NA,NA
Gson,1,2,20%,Fastazi-S,15,0.967948717948718,3,0.038461538461538464
Gson,1,2,20%,Fastazi-P,15,0.967948717948718,3,0.038461538461538464
Gson,1,2,20%,Random,15,0.0,NA,NA
Gson,1,2,25%,Ekstazi,19,0.0,NA,NA
Gson,1,2,25%,FAST,19,0.967948717948718,3,0.038461538461538464
Gson,1,2,25%,Ekstazi+dpt,19,0.0,NA,NA
Gson,1,2,25%,DPT,19,0.0,NA,NA
Gson,1,2,25%,STARTS,19,0.9423076923076923,5,0.0641025641025641
Gson,1,2,25%,STARTS+FAST-S,19,0.9551282051282051,4,0.05128205128205128
Gson,1,2,25%,STARTS+FAST-P,19,0.967948717948718,3,0.038461538461538464
Gson,1,2,25%,STARTS+DPT,19,0.0,NA,NA
Gson,1,2,25%,Fastazi-S,19,0.967948717948718,3,0.038461538461538464
Gson,1,2,25%,Fastazi-P,19,0.967948717948718,3,0.038461538461538464
Gson,1,2,25%,Random,19,0.0,NA,NA
Gson,1,2,30%,Ekstazi,23,0.0,NA,NA
Gson,1,2,30%,FAST,23,0.967948717948718,3,0.038461538461538464
Gson,1,2,30%,Ekstazi+dpt,23,0.7371794871794872,21,0.2692307692307692
Gson,1,2,30%,DPT,23,0.7371794871794872,21,0.2692307692307692
Gson,1,2,30%,STARTS,23,0.9423076923076923,5,0.0641025641025641
Gson,1,2,30%,STARTS+FAST-S,23,0.9551282051282051,4,0.05128205128205128
Gson,1,2,30%,STARTS+FAST-P,23,0.967948717948718,3,0.038461538461538464
Gson,1,2,30%,STARTS+DPT,23,0.7371794871794872,21,0.2692307692307692
Gson,1,2,30%,Fastazi-S,23,0.967948717948718,3,0.038461538461538464
Gson,1,2,30%,Fastazi-P,23,0.967948717948718,3,0.038461538461538464
Gson,1,2,30%,Random,23,0.0,NA,NA
Gson,1,2,40%,Ekstazi,30,0.0,NA,NA
Gson,1,2,40%,FAST,30,0.967948717948718,3,0.038461538461538464
Gson,1,2,40%,Ekstazi+dpt,30,0.7371794871794872,21,0.2692307692307692
Gson,1,2,40%,DPT,30,0.7371794871794872,21,0.2692307692307692
Gson,1,2,40%,STARTS,30,0.9423076923076923,5,0.0641025641025641
Gson,1,2,40%,STARTS+FAST-S,30,0.9551282051282051,4,0.05128205128205128
Gson,1,2,40%,STARTS+FAST-P,30,0.967948717948718,3,0.038461538461538464
Gson,1,2,40%,STARTS+DPT,30,0.7371794871794872,21,0.2692307692307692
Gson,1,2,40%,Fastazi-S,30,0.967948717948718,3,0.038461538461538464
Gson,1,2,40%,Fastazi-P,30,0.967948717948718,3,0.038461538461538464
Gson,1,2,40%,Random,30,0.0,NA,NA
Gson,1,2,50%,Ekstazi,38,0.0,NA,NA
Gson,1,2,50%,FAST,38,0.967948717948718,3,0.038461538461538464
Gson,1,2,50%,Ekstazi+dpt,38,0.7371794871794872,21,0.2692307692307692
Gson,1,2,50%,DPT,38,0.7371794871794872,21,0.2692307692307692
Gson,1,2,50%,STARTS,38,0.9423076923076923,5,0.0641025641025641
Gson,1,2,50%,STARTS+FAST-S,38,0.9551282051282051,4,0.05128205128205128
Gson,1,2,50%,STARTS+FAST-P,38,0.967948717948718,3,0.038461538461538464
Gson,1,2,50%,STARTS+DPT,38,0.7371794871794872,21,0.2692307692307692
Gson,1,2,50%,Fastazi-S,38,0.967948717948718,3,0.038461538461538464
Gson,1,2,50%,Fastazi-P,38,0.967948717948718,3,0.038461538461538464
Gson,1,2,50%,Random,38,0.5705128205128205,34,0.4358974358974359
Gson,1,2,60%,Ekstazi,46,0.0,NA,NA
Gson,1,2,60%,FAST,46,0.967948717948718,3,0.038461538461538464
Gson,1,2,60%,Ekstazi+dpt,46,0.7371794871794872,21,0.2692307692307692
Gson,1,2,60%,DPT,46,0.7371794871794872,21,0.2692307692307692
Gson,1,2,60%,STARTS,46,0.9423076923076923,5,0.0641025641025641
Gson,1,2,60%,STARTS+FAST-S,46,0.9551282051282051,4,0.05128205128205128
Gson,1,2,60%,STARTS+FAST-P,46,0.967948717948718,3,0.038461538461538464
Gson,1,2,60%,STARTS+DPT,46,0.7371794871794872,21,0.2692307692307692
Gson,1,2,60%,Fastazi-S,46,0.967948717948718,3,0.038461538461538464
Gson,1,2,60%,Fastazi-P,46,0.967948717948718,3,0.038461538461538464
Gson,1,2,60%,Random,46,0.5705128205128205,34,0.4358974358974359
Gson,1,2,70%,Ekstazi,53,0.0,NA,NA
Gson,1,2,70%,FAST,53,0.967948717948718,3,0.038461538461538464
Gson,1,2,70%,Ekstazi+dpt,53,0.7371794871794872,21,0.2692307692307692
Gson,1,2,70%,DPT,53,0.7371794871794872,21,0.2692307692307692
Gson,1,2,70%,STARTS,53,0.9423076923076923,5,0.0641025641025641
Gson,1,2,70%,STARTS+FAST-S,53,0.9551282051282051,4,0.05128205128205128
Gson,1,2,70%,STARTS+FAST-P,53,0.967948717948718,3,0.038461538461538464
Gson,1,2,70%,STARTS+DPT,53,0.7371794871794872,21,0.2692307692307692
Gson,1,2,70%,Fastazi-S,53,0.967948717948718,3,0.038461538461538464
Gson,1,2,70%,Fastazi-P,53,0.967948717948718,3,0.038461538461538464
Gson,1,2,70%,Random,53,0.5705128205128205,34,0.4358974358974359
Gson,1,2,75%,Ekstazi,57,0.0,NA,NA
Gson,1,2,75%,FAST,57,0.967948717948718,3,0.038461538461538464
Gson,1,2,75%,Ekstazi+dpt,57,0.7371794871794872,21,0.2692307692307692
Gson,1,2,75%,DPT,57,0.7371794871794872,21,0.2692307692307692
Gson,1,2,75%,STARTS,57,0.9423076923076923,5,0.0641025641025641
Gson,1,2,75%,STARTS+FAST-S,57,0.9551282051282051,4,0.05128205128205128
Gson,1,2,75%,STARTS+FAST-P,57,0.967948717948718,3,0.038461538461538464
Gson,1,2,75%,STARTS+DPT,57,0.7371794871794872,21,0.2692307692307692
Gson,1,2,75%,Fastazi-S,57,0.967948717948718,3,0.038461538461538464
Gson,1,2,75%,Fastazi-P,57,0.967948717948718,3,0.038461538461538464
Gson,1,2,75%,Random,57,0.5705128205128205,34,0.4358974358974359
Gson,1,2,80%,Ekstazi,61,0.0,NA,NA
Gson,1,2,80%,FAST,61,0.967948717948718,3,0.038461538461538464
Gson,1,2,80%,Ekstazi+dpt,61,0.7371794871794872,21,0.2692307692307692
Gson,1,2,80%,DPT,61,0.7371794871794872,21,0.2692307692307692
Gson,1,2,80%,STARTS,61,0.9423076923076923,5,0.0641025641025641
Gson,1,2,80%,STARTS+FAST-S,61,0.9551282051282051,4,0.05128205128205128
Gson,1,2,80%,STARTS+FAST-P,61,0.967948717948718,3,0.038461538461538464
Gson,1,2,80%,STARTS+DPT,61,0.7371794871794872,21,0.2692307692307692
Gson,1,2,80%,Fastazi-S,61,0.967948717948718,3,0.038461538461538464
Gson,1,2,80%,Fastazi-P,61,0.967948717948718,3,0.038461538461538464
Gson,1,2,80%,Random,61,0.5705128205128205,34,0.4358974358974359
Gson,1,2,90%,Ekstazi,69,0.0,NA,NA
Gson,1,2,90%,FAST,69,0.967948717948718,3,0.038461538461538464
Gson,1,2,90%,Ekstazi+dpt,69,0.7371794871794872,21,0.2692307692307692
Gson,1,2,90%,DPT,69,0.7371794871794872,21,0.2692307692307692
Gson,1,2,90%,STARTS,69,0.9423076923076923,5,0.0641025641025641
Gson,1,2,90%,STARTS+FAST-S,69,0.9551282051282051,4,0.05128205128205128
Gson,1,2,90%,STARTS+FAST-P,69,0.967948717948718,3,0.038461538461538464
Gson,1,2,90%,STARTS+DPT,69,0.7371794871794872,21,0.2692307692307692
Gson,1,2,90%,Fastazi-S,69,0.967948717948718,3,0.038461538461538464
Gson,1,2,90%,Fastazi-P,69,0.967948717948718,3,0.038461538461538464
Gson,1,2,90%,Random,69,0.5705128205128205,34,0.4358974358974359
Gson,1,2,100%,Ekstazi,77,0.019230769230769183,77,0.9871794871794872
Gson,1,2,100%,FAST,77,0.967948717948718,3,0.038461538461538464
Gson,1,2,100%,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,2,100%,DPT,77,0.7371794871794872,21,0.2692307692307692
Gson,1,2,100%,STARTS,77,0.9423076923076923,5,0.0641025641025641
Gson,1,2,100%,STARTS+FAST-S,77,0.9551282051282051,4,0.05128205128205128
Gson,1,2,100%,STARTS+FAST-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,2,100%,STARTS+DPT,77,0.7371794871794872,21,0.2692307692307692
Gson,1,2,100%,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,2,100%,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,2,100%,Random,77,0.5705128205128205,34,0.4358974358974359
Gson,1,3,10%,Ekstazi,7,0.0,NA,NA
Gson,1,3,10%,FAST,7,0.967948717948718,3,0.038461538461538464
Gson,1,3,10%,Ekstazi+dpt,7,0.0,NA,NA
Gson,1,3,10%,DPT,7,0.0,NA,NA
Gson,1,3,10%,STARTS,7,0.0,NA,NA
Gson,1,3,10%,STARTS+FAST-S,7,0.967948717948718,3,0.038461538461538464
Gson,1,3,10%,STARTS+FAST-P,7,0.9551282051282051,4,0.05128205128205128
Gson,1,3,10%,STARTS+DPT,7,0.0,NA,NA
Gson,1,3,10%,Fastazi-S,7,0.967948717948718,3,0.038461538461538464
Gson,1,3,10%,Fastazi-P,7,0.967948717948718,3,0.038461538461538464
Gson,1,3,10%,Random,7,0.0,NA,NA
Gson,1,3,20%,Ekstazi,15,0.0,NA,NA
Gson,1,3,20%,FAST,15,0.967948717948718,3,0.038461538461538464
Gson,1,3,20%,Ekstazi+dpt,15,0.0,NA,NA
Gson,1,3,20%,DPT,15,0.0,NA,NA
Gson,1,3,20%,STARTS,15,0.0,NA,NA
Gson,1,3,20%,STARTS+FAST-S,15,0.967948717948718,3,0.038461538461538464
Gson,1,3,20%,STARTS+FAST-P,15,0.9551282051282051,4,0.05128205128205128
Gson,1,3,20%,STARTS+DPT,15,0.0,NA,NA
Gson,1,3,20%,Fastazi-S,15,0.967948717948718,3,0.038461538461538464
Gson,1,3,20%,Fastazi-P,15,0.967948717948718,3,0.038461538461538464
Gson,1,3,20%,Random,15,0.0,NA,NA
Gson,1,3,25%,Ekstazi,19,0.0,NA,NA
Gson,1,3,25%,FAST,19,0.967948717948718,3,0.038461538461538464
Gson,1,3,25%,Ekstazi+dpt,19,0.0,NA,NA
Gson,1,3,25%,DPT,19,0.0,NA,NA
Gson,1,3,25%,STARTS,19,0.0,NA,NA
Gson,1,3,25%,STARTS+FAST-S,19,0.967948717948718,3,0.038461538461538464
Gson,1,3,25%,STARTS+FAST-P,19,0.9551282051282051,4,0.05128205128205128
Gson,1,3,25%,STARTS+DPT,19,0.0,NA,NA
Gson,1,3,25%,Fastazi-S,19,0.967948717948718,3,0.038461538461538464
Gson,1,3,25%,Fastazi-P,19,0.967948717948718,3,0.038461538461538464
Gson,1,3,25%,Random,19,0.0,NA,NA
Gson,1,3,30%,Ekstazi,23,0.0,NA,NA
Gson,1,3,30%,FAST,23,0.967948717948718,3,0.038461538461538464
Gson,1,3,30%,Ekstazi+dpt,23,0.7371794871794872,21,0.2692307692307692
Gson,1,3,30%,DPT,23,0.7371794871794872,21,0.2692307692307692
Gson,1,3,30%,STARTS,23,0.0,NA,NA
Gson,1,3,30%,STARTS+FAST-S,23,0.967948717948718,3,0.038461538461538464
Gson,1,3,30%,STARTS+FAST-P,23,0.9551282051282051,4,0.05128205128205128
Gson,1,3,30%,STARTS+DPT,23,0.7371794871794872,21,0.2692307692307692
Gson,1,3,30%,Fastazi-S,23,0.967948717948718,3,0.038461538461538464
Gson,1,3,30%,Fastazi-P,23,0.967948717948718,3,0.038461538461538464
Gson,1,3,30%,Random,23,0.0,NA,NA
Gson,1,3,40%,Ekstazi,30,0.0,NA,NA
Gson,1,3,40%,FAST,30,0.967948717948718,3,0.038461538461538464
Gson,1,3,40%,Ekstazi+dpt,30,0.7371794871794872,21,0.2692307692307692
Gson,1,3,40%,DPT,30,0.7371794871794872,21,0.2692307692307692
Gson,1,3,40%,STARTS,30,0.6346153846153846,29,0.3717948717948718
Gson,1,3,40%,STARTS+FAST-S,30,0.967948717948718,3,0.038461538461538464
Gson,1,3,40%,STARTS+FAST-P,30,0.9551282051282051,4,0.05128205128205128
Gson,1,3,40%,STARTS+DPT,30,0.7371794871794872,21,0.2692307692307692
Gson,1,3,40%,Fastazi-S,30,0.967948717948718,3,0.038461538461538464
Gson,1,3,40%,Fastazi-P,30,0.967948717948718,3,0.038461538461538464
Gson,1,3,40%,Random,30,0.0,NA,NA
Gson,1,3,50%,Ekstazi,38,0.0,NA,NA
Gson,1,3,50%,FAST,38,0.967948717948718,3,0.038461538461538464
Gson,1,3,50%,Ekstazi+dpt,38,0.7371794871794872,21,0.2692307692307692
Gson,1,3,50%,DPT,38,0.7371794871794872,21,0.2692307692307692
Gson,1,3,50%,STARTS,38,0.6346153846153846,29,0.3717948717948718
Gson,1,3,50%,STARTS+FAST-S,38,0.967948717948718,3,0.038461538461538464
Gson,1,3,50%,STARTS+FAST-P,38,0.9551282051282051,4,0.05128205128205128
Gson,1,3,50%,STARTS+DPT,38,0.7371794871794872,21,0.2692307692307692
Gson,1,3,50%,Fastazi-S,38,0.967948717948718,3,0.038461538461538464
Gson,1,3,50%,Fastazi-P,38,0.967948717948718,3,0.038461538461538464
Gson,1,3,50%,Random,38,0.0,NA,NA
Gson,1,3,60%,Ekstazi,46,0.4807692307692307,41,0.5256410256410257
Gson,1,3,60%,FAST,46,0.967948717948718,3,0.038461538461538464
Gson,1,3,60%,Ekstazi+dpt,46,0.7371794871794872,21,0.2692307692307692
Gson,1,3,60%,DPT,46,0.7371794871794872,21,0.2692307692307692
Gson,1,3,60%,STARTS,46,0.6346153846153846,29,0.3717948717948718
Gson,1,3,60%,STARTS+FAST-S,46,0.967948717948718,3,0.038461538461538464
Gson,1,3,60%,STARTS+FAST-P,46,0.9551282051282051,4,0.05128205128205128
Gson,1,3,60%,STARTS+DPT,46,0.7371794871794872,21,0.2692307692307692
Gson,1,3,60%,Fastazi-S,46,0.967948717948718,3,0.038461538461538464
Gson,1,3,60%,Fastazi-P,46,0.967948717948718,3,0.038461538461538464
Gson,1,3,60%,Random,46,0.0,NA,NA
Gson,1,3,70%,Ekstazi,53,0.4807692307692307,41,0.5256410256410257
Gson,1,3,70%,FAST,53,0.967948717948718,3,0.038461538461538464
Gson,1,3,70%,Ekstazi+dpt,53,0.7371794871794872,21,0.2692307692307692
Gson,1,3,70%,DPT,53,0.7371794871794872,21,0.2692307692307692
Gson,1,3,70%,STARTS,53,0.6346153846153846,29,0.3717948717948718
Gson,1,3,70%,STARTS+FAST-S,53,0.967948717948718,3,0.038461538461538464
Gson,1,3,70%,STARTS+FAST-P,53,0.9551282051282051,4,0.05128205128205128
Gson,1,3,70%,STARTS+DPT,53,0.7371794871794872,21,0.2692307692307692
Gson,1,3,70%,Fastazi-S,53,0.967948717948718,3,0.038461538461538464
Gson,1,3,70%,Fastazi-P,53,0.967948717948718,3,0.038461538461538464
Gson,1,3,70%,Random,53,0.0,NA,NA
Gson,1,3,75%,Ekstazi,57,0.4807692307692307,41,0.5256410256410257
Gson,1,3,75%,FAST,57,0.967948717948718,3,0.038461538461538464
Gson,1,3,75%,Ekstazi+dpt,57,0.7371794871794872,21,0.2692307692307692
Gson,1,3,75%,DPT,57,0.7371794871794872,21,0.2692307692307692
Gson,1,3,75%,STARTS,57,0.6346153846153846,29,0.3717948717948718
Gson,1,3,75%,STARTS+FAST-S,57,0.967948717948718,3,0.038461538461538464
Gson,1,3,75%,STARTS+FAST-P,57,0.9551282051282051,4,0.05128205128205128
Gson,1,3,75%,STARTS+DPT,57,0.7371794871794872,21,0.2692307692307692
Gson,1,3,75%,Fastazi-S,57,0.967948717948718,3,0.038461538461538464
Gson,1,3,75%,Fastazi-P,57,0.967948717948718,3,0.038461538461538464
Gson,1,3,75%,Random,57,0.0,NA,NA
Gson,1,3,80%,Ekstazi,61,0.4807692307692307,41,0.5256410256410257
Gson,1,3,80%,FAST,61,0.967948717948718,3,0.038461538461538464
